SK_ESCOLA,NO_ENTIDADE,CO_MUNICIPIO,SG_UF,NM_REGIAO,TP_LOCALIZACAO,IDHM,SEL_RECOMENDADO,SCORE_ADERENCIA_SELO
35000316,Escola Pionero 317,2910800,BA,Nordeste,1,0.712,Kepler,54.65
35000254,Colégio Marista 255,2611101,PE,Nordeste,1,0.697,Farias Brito,58.32
35000605,Academia Alfa 606,4118204,PR,Sul,2,0.75,Compartilha,60.87
35000665,Colégio Albert Einstein 666,3303302,RJ,Sudeste,1,0.837,Kepler,52.26
35000176,Liceu Santa Cruz 177,4118204,PR,Sul,1,0.75,Farias Brito,58.89
35000081,Centro Educacional Elite 82,4205407,SC,Sul,1,0.847,Uno,61.9
35000656,Centro Educacional Dom Bosco 657,1302603,AM,Norte,1,0.737,Kepler,60.67
35000846,Academia Albert Einstein 847,2611606,PE,Nordeste,1,0.772,Farias Brito,64.89
35001153,Escola Progresso 1154,2111300,MA,Nordeste,1,0.768,Kepler,61.32
35000870,Instituto de Ensino Vanguard 871,4314902,RS,Sul,1,0.805,Uno,69.74
35000126,Academia Progresso 127,5208707,GO,Centro-Oeste,1,0.799,Kepler,66.32
35001055,Colégio Exponencial 1056,5002704,MS,Centro-Oeste,1,0.784,Uno,67.02
35000242,Liceu Alfa 243,4118204,PR,Sul,1,0.75,Kepler,62.21
35000584,Colégio Vanguard 585,2611101,PE,Nordeste,1,0.697,Compartilha,51.96
35000322,Liceu Anchieta 323,2304202,CE,Nordeste,1,0.713,Farias Brito,53.88
35000346,Instituto de Ensino Santa Cruz 347,4209102,SC,Sul,1,0.809,Kepler,55.83
35000367,Escola Saber 368,3301702,RJ,Sudeste,1,0.711,Compartilha,61.82
35000924,Instituto de Ensino Vanguard 925,3550308,SP,Sudeste,1,0.805,Kepler,61.16
35000864,Colégio Santo Agostinho 865,3106200,MG,Sudeste,1,0.81,Uno,64.03
35000471,Centro Educacional Marista 472,4106902,PR,Sul,1,0.823,Uno,74.1
35000650,Academia São José 651,2611101,PE,Nordeste,1,0.697,Farias Brito,60.42
35000310,Escola Objetivo 311,4304606,RS,Sul,1,0.782,Kepler,61.53
35000370,Colégio Fênix 371,3170206,MG,Sudeste,1,0.789,Kepler,62.06
35000135,Colégio Exponencial 136,3304557,RJ,Sudeste,1,0.799,Uno,62.38
35000453,Colégio Pionero 454,2304400,CE,Nordeste,1,0.754,Farias Brito,73.69
35000861,Liceu Progresso 862,3304557,RJ,Sudeste,1,0.799,Compartilha,66.89
35000867,Instituto de Ensino Elite 868,4106902,PR,Sul,2,0.823,Uno,73.89
35000307,Liceu Elite 308,4113700,PR,Sul,1,0.788,Compartilha,55.3
35000983,Academia São José 984,2313500,CE,Nordeste,1,0.714,Farias Brito,72.43
35000843,Centro Educacional Elite 844,2927408,BA,Nordeste,1,0.759,Kepler,60.44
35000334,Academia Anchieta 335,3301702,RJ,Sudeste,1,0.711,Farias Brito,61.31
35001147,Academia Vanguard 1148,2304202,CE,Nordeste,1,0.713,Compartilha,50.24
35001144,Escola Exponencial 1145,2609600,PE,Nordeste,1,0.735,Kepler,57.01
35000102,Colégio Anchieta 103,3304557,RJ,Sudeste,1,0.799,Uno,58.29
35000498,Centro Educacional Objetivo 499,3304557,RJ,Sudeste,1,0.799,Uno,66.0
35000319,Escola Alfa 320,2609600,PE,Nordeste,1,0.735,Compartilha,54.81
35000906,Academia Futuro 907,4205407,SC,Sul,1,0.847,Uno,57.45
35001093,Liceu São José 1094,3301702,RJ,Sudeste,1,0.711,Farias Brito,67.62
35000072,Academia Integral 73,3106200,MG,Sudeste,1,0.81,Uno,62.64
35000099,Liceu Vanguard 100,3550308,SP,Sudeste,1,0.805,Kepler,57.96
35000918,Academia Santo Agostinho 919,5208707,GO,Centro-Oeste,1,0.799,Compartilha,65.53
35000965,Academia Nossa Senhora 966,3136702,MG,Sudeste,1,0.778,Farias Brito,64.19
35001037,Academia Exponencial 1038,4316907,RS,Sul,1,0.784,Kepler,61.27
35000522,Academia Integral 523,5208707,GO,Centro-Oeste,1,0.799,Uno,51.71
35000391,Liceu Exponencial 392,5300108,DF,Centro-Oeste,1,0.824,Uno,50.08
35001141,Liceu Santa Cruz 1142,2910800,BA,Nordeste,1,0.712,Compartilha,55.2
35000733,Liceu Progresso 734,3170206,MG,Sudeste,1,0.789,Uno,73.61
35000385,Escola Exponencial 386,2609600,PE,Nordeste,1,0.735,Kepler,52.59
35000048,Liceu Santa Cruz 49,4205407,SC,Sul,1,0.847,Kepler,55.92
35000191,Centro Educacional Exponencial 192,2313500,CE,Nordeste,1,0.714,Farias Brito,63.05
35000995,Liceu Dom Bosco 996,3303302,RJ,Sudeste,1,0.837,Uno,54.32
35001150,Escola Alfa 1151,5300108,DF,Centro-Oeste,1,0.824,Compartilha,48.33
35000897,Academia Santo Agostinho 898,3106200,MG,Sudeste,1,0.81,Kepler,65.34
35001171,Escola Futuro 1172,4209102,SC,Sul,1,0.809,Compartilha,61.62
35000057,Colégio Exponencial 58,2304400,CE,Nordeste,1,0.754,Kepler,61.49
35000477,Centro Educacional Elite 478,4205407,SC,Sul,1,0.847,Kepler,53.2
35000739,Escola Progresso 740,4304606,RS,Sul,1,0.782,Uno,73.72
35001162,Centro Educacional Albert Einstein 1163,3170206,MG,Sudeste,1,0.789,Kepler,68.89
35000724,Escola Vanguard 725,2111300,MA,Nordeste,2,0.768,Farias Brito,60.32
35000456,Colégio Fênix 457,5208707,GO,Centro-Oeste,1,0.799,Kepler,60.43
35000519,Liceu Saber 520,2304400,CE,Nordeste,1,0.754,Farias Brito,67.98
35000873,Academia Anchieta 874,4205407,SC,Sul,1,0.847,Kepler,58.16
35001049,Colégio Alfa 1050,2313500,CE,Nordeste,1,0.714,Farias Brito,66.76
35000364,Academia Alfa 365,3509502,SP,Sudeste,1,0.805,Uno,74.16
35001114,Instituto de Ensino São José 1115,2304202,CE,Nordeste,1,0.713,Farias Brito,58.11
35001016,Escola Elite 1017,2313500,CE,Nordeste,1,0.714,Compartilha,55.35
35000450,Colégio Integral 451,2611606,PE,Nordeste,1,0.772,Farias Brito,60.82
35000495,Centro Educacional Exponencial 496,3550308,SP,Sudeste,1,0.805,Uno,69.11
35000534,Colégio Exponencial 535,3106200,MG,Sudeste,1,0.81,Uno,66.18
35000617,Instituto de Ensino Objetivo 618,2611101,PE,Nordeste,1,0.697,Kepler,50.99
35000325,Liceu Nossa Senhora 326,5300108,DF,Centro-Oeste,1,0.824,Kepler,49.34
35000474,Academia Vanguard 475,4314902,RS,Sul,1,0.805,Kepler,58.46
35000182,Colégio Elite 183,4202404,SC,Sul,2,0.806,Compartilha,62.99
35001111,Academia Nossa Senhora 1112,2609600,PE,Nordeste,1,0.735,Kepler,51.45
35000793,Academia Futuro 794,3509502,SP,Sudeste,1,0.805,Uno,66.84
35000343,Liceu Fênix 344,4304606,RS,Sul,1,0.782,Uno,65.74
35000968,Escola Saber 969,4118204,PR,Sul,1,0.75,Compartilha,60.92
35000492,Escola Nossa Senhora 493,1501402,PA,Norte,1,0.746,Kepler,57.47
35000203,Instituto de Ensino Marista 204,3303302,RJ,Sudeste,1,0.837,Uno,60.93
35000971,Centro Educacional Marista 972,4316907,RS,Sul,1,0.784,Farias Brito,61.98
35000251,Instituto de Ensino Nossa Senhora 252,2933307,BA,Nordeste,1,0.718,Kepler,53.28
35000748,Escola Exponencial 749,2609600,PE,Nordeste,1,0.735,Kepler,57.17
35000772,Instituto de Ensino Pionero 773,4304606,RS,Sul,1,0.782,Compartilha,62.9
35000587,Instituto de Ensino Santa Cruz 588,2313500,CE,Nordeste,1,0.714,Farias Brito,75.7
35001117,Centro Educacional Nossa Senhora 1118,5300108,DF,Centro-Oeste,1,0.824,Uno,55.58
35000974,Centro Educacional Objetivo 975,4202404,SC,Sul,1,0.806,Compartilha,59.89
35000358,Academia Albert Einstein 359,5300108,DF,Centro-Oeste,1,0.824,Uno,54.17
35000138,Instituto de Ensino Marista 139,3106200,MG,Sudeste,1,0.81,Uno,72.91
35000218,Academia Anchieta 219,2933307,BA,Nordeste,1,0.718,Kepler,54.31
35000441,Colégio Vanguard 442,4314902,RS,Sul,1,0.805,Uno,63.68
35000438,Academia Nossa Senhora 439,4106902,PR,Sul,1,0.823,Uno,63.59
35001025,Instituto de Ensino Santo Agostinho 1026,3549805,SP,Sudeste,1,0.807,Kepler,56.52
35000703,Academia São José 704,4113700,PR,Sul,1,0.788,Uno,67.09
35000855,Academia Anchieta 856,1501402,PA,Norte,1,0.746,Farias Brito,73.43
35000528,Instituto de Ensino Albert Einstein 529,3550308,SP,Sudeste,1,0.805,Uno,77.05
35000084,Liceu Fênix 85,2927408,BA,Nordeste,1,0.759,Farias Brito,54.32
35000608,Academia Elite 609,4316907,RS,Sul,1,0.784,Compartilha,76.44
35001126,Instituto de Ensino Exponencial 1127,3301702,RJ,Sudeste,2,0.711,Compartilha,56.35
35001132,Instituto de Ensino Nossa Senhora 1133,4113700,PR,Sul,1,0.788,Uno,65.91
35000763,Colégio Objetivo 764,3301702,RJ,Sudeste,1,0.711,Farias Brito,55.56
35000712,Colégio Saber 713,2910800,BA,Nordeste,1,0.712,Farias Brito,62.84
35000796,Escola Elite 797,3301702,RJ,Sudeste,1,0.711,Farias Brito,61.86
35001099,Escola Nossa Senhora 1100,4113700,PR,Sul,1,0.788,Compartilha,59.14
35000185,Liceu Dom Bosco 186,2933307,BA,Nordeste,2,0.718,Kepler,54.34
35000766,Centro Educacional Nossa Senhora 767,3170206,MG,Sudeste,1,0.789,Kepler,65.98
35000912,Liceu Vanguard 913,2611606,PE,Nordeste,1,0.772,Kepler,62.95
35000572,Colégio Dom Bosco 573,4118204,PR,Sul,1,0.75,Kepler,56.94
35001004,Colégio Santo Agostinho 1005,4316907,RS,Sul,1,0.784,Uno,66.45
35000751,Academia Elite 752,2304202,CE,Nordeste,2,0.713,Kepler,52.74
35000054,Escola Alfa 55,2611606,PE,Nordeste,1,0.772,Kepler,66.61
35000507,Escola Pionero 508,4314902,RS,Sul,2,0.805,Uno,58.91
35000921,Academia Santa Cruz 922,1501402,PA,Norte,1,0.746,Compartilha,56.4
35000578,Academia Fênix 579,4202404,SC,Sul,1,0.806,Kepler,59.38
35000757,Escola Vanguard 758,2111300,MA,Nordeste,1,0.768,Farias Brito,51.49
35001156,Centro Educacional Dom Bosco 1157,3509502,SP,Sudeste,1,0.805,Uno,66.72
35001168,Colégio Dom Bosco 1169,4304606,RS,Sul,2,0.782,Kepler,58.04
35001159,Instituto de Ensino Fênix 1160,3301702,RJ,Sudeste,1,0.711,Kepler,55.01
35000915,Instituto de Ensino Santa Cruz 916,2304400,CE,Nordeste,1,0.754,Kepler,61.99
35000379,Escola Albert Einstein 380,4209102,SC,Sul,1,0.809,Compartilha,59.24
35000709,Academia Vanguard 710,4209102,SC,Sul,1,0.809,Uno,60.9
35000721,Centro Educacional Objetivo 722,5300108,DF,Centro-Oeste,2,0.824,Kepler,47.98
35000742,Centro Educacional Integral 743,4209102,SC,Sul,1,0.809,Kepler,58.37
35000909,Liceu Dom Bosco 910,2927408,BA,Nordeste,1,0.759,Kepler,59.12
35000051,Escola Saber 52,2927408,BA,Nordeste,1,0.759,Farias Brito,58.26
35000355,Escola Objetivo 356,2304202,CE,Nordeste,1,0.713,Farias Brito,61.4
35000614,Colégio Marista 615,2933307,BA,Nordeste,1,0.718,Farias Brito,67.32
35000465,Liceu Nossa Senhora 466,3304557,RJ,Sudeste,1,0.799,Kepler,66.18
35001183,Escola Alfa 1184,5300108,DF,Centro-Oeste,1,0.824,Kepler,47.78
35000718,Colégio Alfa 719,2304202,CE,Nordeste,1,0.713,Kepler,53.62
35001105,Liceu Alfa 1106,4209102,SC,Sul,1,0.809,Uno,58.02
35000486,Colégio São José 487,2304400,CE,Nordeste,1,0.754,Farias Brito,57.95
35000575,Colégio Futuro 576,4316907,RS,Sul,1,0.784,Kepler,64.55
35000087,Instituto de Ensino Futuro 88,2611606,PE,Nordeste,1,0.772,Farias Brito,59.3
35000903,Academia Progresso 904,4314902,RS,Sul,1,0.805,Uno,58.58
35001123,Instituto de Ensino Futuro 1124,3509502,SP,Sudeste,1,0.805,Uno,72.4
35001040,Centro Educacional Albert Einstein 1041,4202404,SC,Sul,1,0.806,Kepler,59.2
35000075,Liceu Integral 76,4106902,PR,Sul,1,0.823,Kepler,56.58
35000623,Liceu Alfa 624,1302603,AM,Norte,1,0.737,Farias Brito,67.79
35001043,Instituto de Ensino Nossa Senhora 1044,2933307,BA,Nordeste,1,0.718,Farias Brito,53.13
35000468,Academia São José 469,3106200,MG,Sudeste,1,0.81,Uno,64.75
35001177,Centro Educacional Vanguard 1178,2609600,PE,Nordeste,1,0.735,Farias Brito,69.75
35000629,Colégio Nossa Senhora 630,3549805,SP,Sudeste,1,0.807,Kepler,59.99
35000840,Academia Integral 841,4205407,SC,Sul,1,0.847,Uno,60.71
35000349,Escola Nossa Senhora 350,2910800,BA,Nordeste,1,0.712,Farias Brito,58.35
35000394,Escola Alfa 395,2111300,MA,Nordeste,1,0.768,Farias Brito,65.03
35000745,Centro Educacional Alfa 746,2910800,BA,Nordeste,1,0.712,Compartilha,54.15
35000248,Liceu Objetivo 249,4202404,SC,Sul,1,0.806,Uno,66.21
35000230,Centro Educacional Fênix 231,5002704,MS,Centro-Oeste,1,0.784,Compartilha,60.19
35000775,Academia Nossa Senhora 776,4209102,SC,Sul,1,0.809,Kepler,60.93
35000596,Centro Educacional Fênix 597,3549805,SP,Sudeste,1,0.807,Uno,56.23
35000260,Liceu São José 261,1302603,AM,Norte,1,0.737,Compartilha,56.68
35000632,Escola Objetivo 633,3303302,RJ,Sudeste,1,0.837,Compartilha,47.82
35000590,Academia Anchieta 591,1302603,AM,Norte,1,0.737,Farias Brito,64.8
35001174,Liceu Alfa 1175,2910800,BA,Nordeste,1,0.712,Farias Brito,55.61
35000093,Academia Albert Einstein 94,5208707,GO,Centro-Oeste,1,0.799,Uno,57.39
35000516,Colégio Objetivo 517,2611606,PE,Nordeste,1,0.772,Kepler,68.17
35000879,Escola Exponencial 880,2611606,PE,Nordeste,1,0.772,Kepler,64.08
35000659,Escola Albert Einstein 660,5002704,MS,Centro-Oeste,1,0.784,Farias Brito,58.87
35000501,Instituto de Ensino Elite 502,3106200,MG,Sudeste,1,0.81,Compartilha,56.31
35001135,Instituto de Ensino Exponencial 1136,4304606,RS,Sul,1,0.782,Uno,57.9
35000257,Academia Albert Einstein 258,2313500,CE,Nordeste,2,0.714,Farias Brito,69.33
35000882,Centro Educacional Saber 883,2304400,CE,Nordeste,1,0.754,Farias Brito,70.89
35000894,Instituto de Ensino Anchieta 895,3304557,RJ,Sudeste,1,0.799,Uno,60.31
35000837,Escola Dom Bosco 838,4314902,RS,Sul,1,0.805,Uno,71.0
35000209,Escola Pionero 210,4118204,PR,Sul,1,0.75,Uno,61.96
35000233,Escola Nossa Senhora 234,3549805,SP,Sudeste,1,0.807,Compartilha,54.65
35000784,Liceu Saber 785,2304202,CE,Nordeste,1,0.713,Compartilha,54.73
35000227,Colégio Elite 228,1302603,AM,Norte,1,0.737,Farias Brito,59.69
35000769,Liceu Elite 770,4113700,PR,Sul,1,0.788,Compartilha,70.46
35000269,Liceu Exponencial 270,3303302,RJ,Sudeste,1,0.837,Uno,61.38
35000834,Academia Alfa 835,4106902,PR,Sul,1,0.823,Uno,61.75
35000644,Escola Elite 645,4202404,SC,Sul,1,0.806,Kepler,62.75
35000510,Centro Educacional Objetivo 511,4205407,SC,Sul,1,0.847,Uno,58.26
35001034,Centro Educacional Anchieta 1035,4118204,PR,Sul,1,0.75,Kepler,65.21
35001052,Escola Objetivo 1053,1302603,AM,Norte,1,0.737,Farias Brito,68.21
35000489,Colégio Santo Agostinho 490,5208707,GO,Centro-Oeste,1,0.799,Kepler,63.94
35001007,Escola Alfa 1008,4202404,SC,Sul,1,0.806,Uno,76.62
35000593,Liceu Saber 594,5002704,MS,Centro-Oeste,1,0.784,Uno,58.57
35000129,Liceu Elite 130,1501402,PA,Norte,1,0.746,Farias Brito,60.46
35000715,Liceu Exponencial 716,2609600,PE,Nordeste,1,0.735,Farias Brito,60.26
35000373,Academia Vanguard 374,4113700,PR,Sul,1,0.788,Uno,64.63
35000737,Instituto de Ensino Albert Einstein 738,4118204,PR,Sul,1,0.75,Farias Brito,62.59
35000207,Liceu Objetivo 208,4106902,PR,Sul,1,0.823,Compartilha,58.26
35000314,Escola Fênix 315,4202404,SC,Sul,1,0.806,Uno,60.86
35000016,Escola Dom Bosco 17,4209102,SC,Sul,1,0.809,Uno,60.3
35000320,Colégio Saber 321,2611101,PE,Nordeste,1,0.697,Farias Brito,61.14
35000472,Academia Exponencial 473,4113700,PR,Sul,1,0.788,Kepler,62.74
