SK_DATA,DATA,ANO,MES,NOME_MES,TRIMESTRE
20260619,2026-06-19,2026,6,June,2
20260620,2026-06-20,2026,6,June,2
20260621,2026-06-21,2026,6,June,2
20260622,2026-06-22,2026,6,June,2
20260623,2026-06-23,2026,6,June,2
20260624,2026-06-24,2026,6,June,2
20260625,2026-06-25,2026,6,June,2
20260626,2026-06-26,2026,6,June,2
20260627,2026-06-27,2026,6,June,2
20260628,2026-06-28,2026,6,June,2
20260629,2026-06-29,2026,6,June,2
20260630,2026-06-30,2026,6,June,2
20260701,2026-07-01,2026,7,July,3
20260702,2026-07-02,2026,7,July,3
20260703,2026-07-03,2026,7,July,3
20260704,2026-07-04,2026,7,July,3
20260705,2026-07-05,2026,7,July,3
20260706,2026-07-06,2026,7,July,3
20260707,2026-07-07,2026,7,July,3
20260708,2026-07-08,2026,7,July,3
20260709,2026-07-09,2026,7,July,3
20260710,2026-07-10,2026,7,July,3
20260711,2026-07-11,2026,7,July,3
20260712,2026-07-12,2026,7,July,3
20260713,2026-07-13,2026,7,July,3
20260714,2026-07-14,2026,7,July,3
20260715,2026-07-15,2026,7,July,3
20260716,2026-07-16,2026,7,July,3
20260717,2026-07-17,2026,7,July,3
20260718,2026-07-18,2026,7,July,3
20260719,2026-07-19,2026,7,July,3
20260720,2026-07-20,2026,7,July,3
20260721,2026-07-21,2026,7,July,3
20260722,2026-07-22,2026,7,July,3
20260723,2026-07-23,2026,7,July,3
20260724,2026-07-24,2026,7,July,3
20260725,2026-07-25,2026,7,July,3
20260726,2026-07-26,2026,7,July,3
20260727,2026-07-27,2026,7,July,3
20260728,2026-07-28,2026,7,July,3
20260729,2026-07-29,2026,7,July,3
20260730,2026-07-30,2026,7,July,3
20260731,2026-07-31,2026,7,July,3
20260801,2026-08-01,2026,8,August,3
20260802,2026-08-02,2026,8,August,3
20260803,2026-08-03,2026,8,August,3
20260804,2026-08-04,2026,8,August,3
20260805,2026-08-05,2026,8,August,3
20260806,2026-08-06,2026,8,August,3
20260807,2026-08-07,2026,8,August,3
20260808,2026-08-08,2026,8,August,3
20260809,2026-08-09,2026,8,August,3
20260810,2026-08-10,2026,8,August,3
20260811,2026-08-11,2026,8,August,3
20260812,2026-08-12,2026,8,August,3
20260813,2026-08-13,2026,8,August,3
20260814,2026-08-14,2026,8,August,3
20260815,2026-08-15,2026,8,August,3
20260816,2026-08-16,2026,8,August,3
20260817,2026-08-17,2026,8,August,3
20260818,2026-08-18,2026,8,August,3
20260819,2026-08-19,2026,8,August,3
20260820,2026-08-20,2026,8,August,3
20260821,2026-08-21,2026,8,August,3
20260822,2026-08-22,2026,8,August,3
20260823,2026-08-23,2026,8,August,3
20260824,2026-08-24,2026,8,August,3
20260825,2026-08-25,2026,8,August,3
20260826,2026-08-26,2026,8,August,3
20260827,2026-08-27,2026,8,August,3
20260828,2026-08-28,2026,8,August,3
20260829,2026-08-29,2026,8,August,3
20260830,2026-08-30,2026,8,August,3
20260831,2026-08-31,2026,8,August,3
20260901,2026-09-01,2026,9,September,3
20260902,2026-09-02,2026,9,September,3
20260903,2026-09-03,2026,9,September,3
20260904,2026-09-04,2026,9,September,3
20260905,2026-09-05,2026,9,September,3
20260906,2026-09-06,2026,9,September,3
20260907,2026-09-07,2026,9,September,3
20260908,2026-09-08,2026,9,September,3
20260909,2026-09-09,2026,9,September,3
20260910,2026-09-10,2026,9,September,3
20260911,2026-09-11,2026,9,September,3
20260912,2026-09-12,2026,9,September,3
20260913,2026-09-13,2026,9,September,3
20260914,2026-09-14,2026,9,September,3
20260915,2026-09-15,2026,9,September,3
20260916,2026-09-16,2026,9,September,3
20260917,2026-09-17,2026,9,September,3
20260918,2026-09-18,2026,9,September,3
20260919,2026-09-19,2026,9,September,3
20260920,2026-09-20,2026,9,September,3
20260921,2026-09-21,2026,9,September,3
20260922,2026-09-22,2026,9,September,3
20260923,2026-09-23,2026,9,September,3
20260924,2026-09-24,2026,9,September,3
20260925,2026-09-25,2026,9,September,3
20260926,2026-09-26,2026,9,September,3
20260927,2026-09-27,2026,9,September,3
20260928,2026-09-28,2026,9,September,3
20260929,2026-09-29,2026,9,September,3
20260930,2026-09-30,2026,9,September,3
20261001,2026-10-01,2026,10,October,4
20261002,2026-10-02,2026,10,October,4
20261003,2026-10-03,2026,10,October,4
20261004,2026-10-04,2026,10,October,4
20261005,2026-10-05,2026,10,October,4
20261006,2026-10-06,2026,10,October,4
20261007,2026-10-07,2026,10,October,4
20261008,2026-10-08,2026,10,October,4
20261009,2026-10-09,2026,10,October,4
20261010,2026-10-10,2026,10,October,4
20261011,2026-10-11,2026,10,October,4
20261012,2026-10-12,2026,10,October,4
20261013,2026-10-13,2026,10,October,4
20261014,2026-10-14,2026,10,October,4
20261015,2026-10-15,2026,10,October,4
20261016,2026-10-16,2026,10,October,4
20261017,2026-10-17,2026,10,October,4
20261018,2026-10-18,2026,10,October,4
20261019,2026-10-19,2026,10,October,4
20261020,2026-10-20,2026,10,October,4
20261021,2026-10-21,2026,10,October,4
20261022,2026-10-22,2026,10,October,4
20261023,2026-10-23,2026,10,October,4
20261024,2026-10-24,2026,10,October,4
20261025,2026-10-25,2026,10,October,4
20261026,2026-10-26,2026,10,October,4
20261027,2026-10-27,2026,10,October,4
20261028,2026-10-28,2026,10,October,4
20261029,2026-10-29,2026,10,October,4
20261030,2026-10-30,2026,10,October,4
20261031,2026-10-31,2026,10,October,4
20261101,2026-11-01,2026,11,November,4
20261102,2026-11-02,2026,11,November,4
20261103,2026-11-03,2026,11,November,4
20261104,2026-11-04,2026,11,November,4
20261105,2026-11-05,2026,11,November,4
20261106,2026-11-06,2026,11,November,4
20261107,2026-11-07,2026,11,November,4
20261108,2026-11-08,2026,11,November,4
20261109,2026-11-09,2026,11,November,4
20261110,2026-11-10,2026,11,November,4
20261111,2026-11-11,2026,11,November,4
20261112,2026-11-12,2026,11,November,4
20261113,2026-11-13,2026,11,November,4
20261114,2026-11-14,2026,11,November,4
20261115,2026-11-15,2026,11,November,4
20261116,2026-11-16,2026,11,November,4
20261117,2026-11-17,2026,11,November,4
20261118,2026-11-18,2026,11,November,4
20261119,2026-11-19,2026,11,November,4
20261120,2026-11-20,2026,11,November,4
20261121,2026-11-21,2026,11,November,4
20261122,2026-11-22,2026,11,November,4
20261123,2026-11-23,2026,11,November,4
20261124,2026-11-24,2026,11,November,4
20261125,2026-11-25,2026,11,November,4
20261126,2026-11-26,2026,11,November,4
20261127,2026-11-27,2026,11,November,4
20261128,2026-11-28,2026,11,November,4
20261129,2026-11-29,2026,11,November,4
20261130,2026-11-30,2026,11,November,4
20261201,2026-12-01,2026,12,December,4
20261202,2026-12-02,2026,12,December,4
20261203,2026-12-03,2026,12,December,4
20261204,2026-12-04,2026,12,December,4
20261205,2026-12-05,2026,12,December,4
20261206,2026-12-06,2026,12,December,4
20261207,2026-12-07,2026,12,December,4
20261208,2026-12-08,2026,12,December,4
20261209,2026-12-09,2026,12,December,4
20261210,2026-12-10,2026,12,December,4
20261211,2026-12-11,2026,12,December,4
20261212,2026-12-12,2026,12,December,4
20261213,2026-12-13,2026,12,December,4
20261214,2026-12-14,2026,12,December,4
20261215,2026-12-15,2026,12,December,4
20261216,2026-12-16,2026,12,December,4
20261217,2026-12-17,2026,12,December,4
20261218,2026-12-18,2026,12,December,4
20261219,2026-12-19,2026,12,December,4
20261220,2026-12-20,2026,12,December,4
20261221,2026-12-21,2026,12,December,4
20261222,2026-12-22,2026,12,December,4
20261223,2026-12-23,2026,12,December,4
20261224,2026-12-24,2026,12,December,4
20261225,2026-12-25,2026,12,December,4
20261226,2026-12-26,2026,12,December,4
20261227,2026-12-27,2026,12,December,4
20261228,2026-12-28,2026,12,December,4
20261229,2026-12-29,2026,12,December,4
20261230,2026-12-30,2026,12,December,4
20261231,2026-12-31,2026,12,December,4
