SK_ESCOLA,CO_MUNICIPIO,IN_INTERNET,IN_BANDA_LARGA,QT_COMP_ALUNO,IN_EQUIP_LOUSA_DIGITAL,IN_LABORATORIO_INFORMATICA,IN_LABORATORIO_CIENCIAS,IN_BIBLIOTECA_SALA_LEITURA,IN_INFANTIL,IN_FUNDAMENTAL,IN_MEDIO,IN_INTEGRAL,IN_AUDITORIO,IN_QUADRA_ESPORTES,QT_SALAS_UTILIZADAS,QT_MAT_BAS,QT_DOC_BAS,PROP_DOCENTES_SUPERIOR,SK_DATA
35000077,4118204,1,1,0.112,0,1,0,1,1,1,0,0,0,0,7,320,17,0.59,20260101
35000078,4314902,1,1,0.327,1,1,1,1,1,1,1,1,1,1,41,3106,221,0.97,20260101
35000079,4304606,0,0,0.09,0,0,0,0,1,1,0,1,0,0,8,157,8,0.57,20260101
35000080,4316907,1,1,0.487,1,1,1,1,0,1,1,0,0,1,18,536,33,0.93,20260101
35000081,4205407,1,1,0.253,1,1,1,1,0,1,1,1,1,1,28,975,65,0.93,20260101
35000082,4209102,1,0,0.129,0,0,0,1,1,1,1,1,0,0,11,305,16,0.53,20260101
35000083,4202404,1,1,0.431,1,1,1,1,0,1,1,1,1,1,18,450,28,0.85,20260101
35000084,2927408,1,1,0.58,0,1,0,1,1,1,0,0,0,1,14,293,18,0.92,20260101
35000085,2910800,1,1,0.356,0,1,1,1,0,1,1,1,1,1,33,1175,78,0.96,20260101
35000086,2933307,1,1,0.337,1,1,1,1,1,1,1,1,1,1,50,1488,106,0.97,20260101
35000087,2611606,1,1,0.313,1,1,1,1,1,1,1,1,1,1,38,1334,95,0.94,20260101
35000088,2609600,1,1,0.216,1,1,1,1,0,1,1,1,1,1,21,672,44,0.96,20260101
35000089,2611101,1,0,0.114,0,0,0,0,1,1,0,0,0,1,11,167,9,0.56,20260101
35000090,2304400,1,1,0.142,0,1,0,1,1,1,0,0,0,0,4,331,18,0.72,20260101
35000091,2304202,1,1,0.716,0,1,1,1,1,1,0,1,1,1,10,686,42,0.95,20260101
35000092,2313500,1,1,0.032,0,0,0,1,1,1,1,0,0,0,7,319,17,0.56,20260101
35000093,5208707,1,1,0.465,0,1,0,1,1,1,0,0,0,1,16,426,26,0.88,20260101
35000094,5300108,1,1,0.596,1,1,1,1,1,1,1,1,0,1,13,647,40,0.93,20260101
35000095,1302603,1,0,0.063,0,1,0,1,1,1,0,0,0,1,11,149,8,0.63,20260101
35000096,1501402,1,1,0.272,1,1,1,1,1,1,1,1,1,1,27,2591,185,0.94,20260101
35000097,2111300,1,1,0.356,1,1,1,1,0,1,1,0,1,1,30,1080,72,0.93,20260101
35000098,5002704,1,0,0.135,0,1,0,1,0,1,1,1,0,0,10,141,7,0.7,20260101
35000099,3550308,0,0,0.1,0,1,0,1,1,1,0,0,0,1,9,133,7,0.61,20260101
35000100,3509502,1,1,0.286,1,1,1,1,1,1,1,1,1,1,28,1730,123,0.87,20260101
35000101,3549805,1,1,0.379,0,1,1,1,1,1,1,0,1,1,13,630,39,0.86,20260101
35000102,3304557,1,1,0.759,1,1,0,1,1,1,0,1,0,1,18,288,18,0.88,20260101
35000103,3301702,1,1,0.269,0,1,1,1,0,1,1,1,1,1,26,839,55,0.94,20260101
35000104,3303302,1,1,0.333,0,1,1,1,0,1,1,1,1,1,20,926,61,0.97,20260101
35000105,3106200,1,1,0.586,1,1,0,1,0,1,0,0,1,1,11,749,46,0.8,20260101
35000106,3170206,1,0,0.098,0,0,0,0,1,1,0,0,0,1,8,176,9,0.65,20260101
35000107,3136702,0,0,0.071,0,0,0,1,1,1,0,1,0,1,11,326,18,0.62,20260101
35000108,4106902,1,1,0.3,1,1,1,1,1,1,1,1,1,1,44,1713,122,0.95,20260101
35000109,4113700,1,1,0.791,0,1,1,1,0,1,0,1,0,1,19,747,46,0.92,20260101
35000110,4118204,1,1,0.293,1,1,1,1,1,1,1,1,1,1,33,2439,174,0.89,20260101
35000111,4314902,1,1,0.278,1,1,1,1,1,1,1,1,1,1,46,1409,100,0.91,20260101
35000112,4304606,1,1,0.712,1,1,1,1,1,1,1,0,1,1,22,641,40,0.93,20260101
35000113,4316907,1,1,0.71,1,1,1,1,1,1,1,0,1,1,22,687,42,0.8,20260101
35000114,4205407,1,1,0.505,1,1,1,1,1,1,1,1,1,1,28,2387,170,0.95,20260101
35000115,4209102,1,1,0.644,0,1,0,1,1,1,1,1,1,1,12,620,38,0.84,20260101
35000116,4202404,1,1,0.768,1,1,1,1,1,1,1,1,0,1,11,624,39,0.86,20260101
35000117,2927408,1,1,0.64,1,1,0,1,0,1,1,0,1,1,14,698,43,0.92,20260101
35000118,2910800,1,1,0.063,0,0,0,1,1,1,0,0,0,1,4,123,6,0.59,20260101
35000119,2933307,1,1,0.617,1,1,1,1,1,1,1,1,1,1,13,619,38,0.95,20260101
35000120,2611606,1,1,0.061,0,0,0,0,1,1,0,1,0,0,5,276,15,0.66,20260101
35000121,2609600,1,0,0.037,0,0,0,1,0,1,1,0,0,1,8,64,4,0.74,20260101
35000122,2611101,1,1,0.349,1,1,1,1,0,1,1,1,1,1,22,987,65,0.91,20260101
35000123,2304400,1,1,0.482,1,1,1,1,0,1,1,1,1,1,23,1001,66,0.93,20260101
35000124,2304202,1,1,0.598,1,1,1,1,1,1,0,1,1,1,55,1488,106,0.86,20260101
35000125,2313500,1,1,0.403,1,1,1,1,1,1,1,1,1,1,47,1850,132,0.96,20260101
35000126,5208707,1,0,0.072,0,0,0,0,1,1,0,0,0,0,5,326,18,0.65,20260101
35000127,5300108,1,1,0.54,1,1,1,1,0,1,1,0,0,1,11,553,34,0.89,20260101
35000128,1302603,1,1,0.723,1,1,1,1,1,1,1,1,0,1,18,541,33,0.94,20260101
35000129,1501402,1,1,0.401,1,1,0,1,0,1,0,1,1,1,19,669,41,0.91,20260101
35000130,2111300,1,1,0.433,0,1,1,1,1,1,1,1,1,1,37,1444,103,0.88,20260101
35000131,5002704,1,1,0.381,1,1,1,1,1,1,0,1,1,1,37,2300,164,0.96,20260101
35000132,3550308,1,1,0.323,1,1,1,1,0,1,1,1,1,1,30,448,29,0.92,20260101
35000133,3509502,1,1,0.485,1,1,1,1,1,1,1,1,1,1,34,2462,175,0.93,20260101
35000134,3549805,1,1,0.326,0,1,1,1,1,1,0,1,1,1,39,1987,141,0.88,20260101
35000135,3304557,1,1,0.218,0,1,1,1,0,1,1,0,1,1,21,996,66,0.96,20260101
35000136,3301702,1,1,0.205,0,1,1,1,0,1,1,1,1,1,18,617,41,0.93,20260101
35000137,3303302,1,1,0.072,0,0,0,0,1,1,0,1,0,1,7,86,4,0.66,20260101
35000138,3106200,1,1,0.512,1,1,1,1,1,1,1,1,1,1,23,365,22,0.81,20260101
35000139,3170206,1,0,0.09,0,0,0,1,1,1,1,0,0,1,11,89,4,0.56,20260101
35000140,3136702,1,1,0.431,0,1,1,1,0,1,1,1,1,1,34,805,53,0.91,20260101
35000141,4106902,1,1,0.43,0,1,0,1,0,1,0,0,0,1,18,706,44,0.88,20260101
35000142,4113700,1,1,0.307,1,1,1,1,1,1,1,1,1,1,36,1560,111,0.87,20260101
35000143,4118204,1,1,0.532,1,1,1,1,1,1,1,1,1,1,33,1398,99,0.9,20260101
35000144,4314902,1,1,0.127,0,0,0,1,1,1,1,0,0,1,8,84,4,0.67,20260101
35000145,4304606,1,1,0.466,0,1,1,1,1,1,0,1,1,1,22,565,35,0.93,20260101
35000146,4316907,1,1,0.246,0,1,1,1,0,1,1,1,1,1,24,744,49,0.91,20260101
35000147,4205407,1,1,0.334,0,1,1,1,1,1,0,1,1,1,31,1399,99,0.86,20260101
35000148,4209102,1,1,0.292,1,1,1,1,0,1,1,1,1,1,21,1089,72,0.91,20260101
35000149,4202404,1,1,0.557,1,1,1,1,0,1,1,0,1,1,15,479,29,0.84,20260101
35000150,2927408,1,1,0.297,1,1,1,1,0,1,1,1,1,1,32,572,38,0.9,20260101
35000151,2910800,1,1,0.772,0,1,1,1,0,1,0,1,1,1,18,470,29,0.86,20260101
35000152,2933307,1,1,0.584,1,1,1,1,1,1,1,1,1,1,25,1571,112,0.86,20260101
35000153,2611606,1,1,0.669,1,1,1,1,1,1,1,0,1,1,12,318,19,0.91,20260101
35000154,2609600,0,0,0.113,0,0,0,0,1,1,0,0,0,0,9,287,15,0.59,20260101
35000155,2611101,0,0,0.106,0,1,0,0,0,1,0,1,0,0,11,108,6,0.56,20260101
35000156,2304400,1,1,0.417,1,1,1,1,1,1,1,1,1,1,36,2882,205,0.98,20260101
35000157,2304202,1,1,0.48,0,1,1,1,1,1,1,1,1,1,42,2688,192,0.9,20260101
35000158,2313500,1,1,0.334,0,1,1,1,1,1,0,1,1,1,45,3169,226,0.96,20260101
35000159,5208707,1,1,0.338,1,1,1,1,1,1,1,1,1,1,32,1301,92,0.94,20260101
35000160,5300108,1,0,0.09,0,1,0,0,0,1,0,1,0,0,10,147,8,0.59,20260101
35000161,1302603,1,1,0.499,1,1,1,1,1,1,1,1,0,1,19,435,27,0.8,20260101
35000162,1501402,1,1,0.285,1,1,1,1,1,1,1,1,1,1,49,2428,173,0.95,20260101
35000163,2111300,1,1,0.742,1,1,0,1,0,1,1,1,0,1,11,686,42,0.86,20260101
35000164,5002704,1,1,0.599,1,1,1,1,1,1,1,1,1,1,44,2929,209,0.97,20260101
35000165,3550308,1,1,0.698,0,1,1,1,1,1,0,0,1,1,13,470,29,0.9,20260101
35000166,3509502,1,1,0.098,0,0,0,0,0,1,0,0,0,1,5,176,9,0.7,20260101
35000167,3549805,1,0,0.068,0,0,0,1,1,1,1,0,0,0,9,319,17,0.62,20260101
35000168,3304557,1,1,0.384,1,1,1,1,1,1,1,1,1,1,34,3097,221,0.87,20260101
35000169,3301702,1,1,0.479,1,1,1,1,0,1,1,0,1,1,17,701,46,0.92,20260101
35000170,3303302,1,1,0.819,1,1,1,1,1,1,0,1,1,1,13,575,35,0.81,20260101
35000171,3106200,0,0,0.026,0,0,0,0,1,1,0,1,0,0,10,165,9,0.71,20260101
35000172,3170206,1,1,0.266,1,1,1,1,1,1,1,1,1,1,45,1689,120,0.9,20260101
35000173,3136702,1,1,0.446,1,1,1,1,1,1,0,1,1,1,38,2336,166,0.91,20260101
35000174,4106902,1,1,0.257,0,1,1,1,0,1,1,1,1,1,26,844,56,0.91,20260101
35000175,4113700,1,1,0.147,0,0,0,1,1,1,0,0,0,1,9,257,14,0.71,20260101
35000176,4118204,1,1,0.265,0,1,1,1,0,1,1,1,1,1,33,1036,69,0.97,20260101
35000177,4314902,1,1,0.528,1,1,1,1,1,1,1,1,1,1,45,1531,109,0.92,20260101
35000178,4304606,1,1,0.133,0,0,0,1,1,1,1,0,0,0,9,103,5,0.63,20260101
35000179,4316907,1,1,0.447,0,1,1,1,0,1,1,1,1,1,33,1178,78,0.92,20260101
35000180,4205407,1,1,0.667,1,1,0,1,1,1,1,0,1,1,21,635,39,0.85,20260101
35000181,4209102,1,1,0.024,0,0,0,1,1,1,1,0,0,1,6,91,5,0.53,20260101
35000182,4202404,1,1,0.484,1,1,1,1,1,1,0,1,1,1,55,2594,185,0.87,20260101
35000183,2927408,1,1,0.71,1,1,0,1,0,1,1,1,1,1,11,383,23,0.91,20260101
35000184,2910800,1,1,0.411,1,1,1,1,1,1,1,1,1,1,27,1587,113,0.89,20260101
35000185,2933307,0,0,0.065,0,0,0,1,1,1,0,0,0,1,6,330,18,0.56,20260101
35000186,2611606,1,0,0.109,0,0,0,1,0,1,1,0,0,0,5,202,11,0.55,20260101
35000187,2609600,1,1,0.471,0,1,1,1,0,1,1,1,1,1,27,606,40,0.92,20260101
35000188,2611101,1,1,0.58,1,1,1,1,1,1,0,0,1,1,18,673,42,0.91,20260101
35000189,2304400,1,1,0.492,1,1,1,1,0,1,1,1,1,1,34,572,38,0.99,20260101
35000190,2304202,1,1,0.289,1,1,1,1,1,1,1,1,1,1,41,1285,91,0.86,20260101
35000191,2313500,1,1,0.499,1,1,1,1,1,1,0,1,1,1,23,335,20,0.93,20260101
35000192,5208707,1,0,0.123,0,0,0,1,1,1,0,0,0,1,4,94,5,0.71,20260101
35000193,5300108,1,1,0.565,1,1,1,1,1,1,1,1,1,1,17,270,16,0.89,20260101
35000194,1302603,1,0,0.07,0,0,0,1,1,1,1,0,0,0,10,321,17,0.72,20260101
35000195,1501402,1,1,0.472,0,1,1,1,0,1,1,1,1,1,27,1152,76,0.96,20260101
35000196,2111300,1,1,0.353,0,1,0,1,0,1,0,0,1,1,10,441,27,0.88,20260101
35000197,5002704,1,1,0.394,1,1,0,1,1,1,0,1,1,1,20,743,46,0.95,20260101
35000198,3550308,1,1,0.561,1,1,1,1,1,1,1,0,1,1,16,725,45,0.92,20260101
35000199,3509502,0,0,0.028,0,0,0,1,1,1,0,0,0,0,6,298,16,0.6,20260101
35000200,3549805,1,1,0.107,0,0,0,0,0,1,0,0,0,1,4,98,5,0.72,20260101
35000201,3304557,1,1,0.765,1,1,1,1,1,1,1,0,0,1,19,606,37,0.82,20260101
35000202,3301702,1,1,0.492,1,1,1,1,1,1,1,1,1,1,33,3021,215,0.95,20260101
35000203,3303302,1,1,0.64,1,1,0,1,0,1,1,0,0,1,21,666,41,0.88,20260101
35000204,3106200,1,1,0.213,1,1,1,1,0,1,1,1,1,1,33,1068,71,0.95,20260101
35000205,3170206,1,1,0.746,1,1,0,1,1,1,1,1,1,1,15,570,35,0.82,20260101
35000206,3136702,1,1,0.038,0,0,0,0,1,1,1,0,0,0,8,304,16,0.57,20260101
35000207,4106902,1,1,0.36,1,1,1,1,1,1,1,1,1,1,33,1796,128,0.89,20260101
35000208,4113700,1,1,0.52,1,1,0,1,1,1,1,1,1,1,12,636,39,0.85,20260101
35000209,4118204,1,1,0.689,1,1,1,1,0,1,1,1,1,1,22,360,22,0.92,20260101
35000210,4314902,1,1,0.29,0,1,1,1,0,1,1,1,1,1,33,564,37,0.97,20260101
35000211,4304606,1,1,0.472,0,1,1,1,0,1,1,1,1,1,16,666,44,0.93,20260101
35000212,4316907,1,1,0.379,1,1,1,1,1,1,0,1,1,1,21,485,30,0.91,20260101
35000213,4205407,0,0,0.119,0,0,0,1,1,1,0,1,0,1,5,151,8,0.71,20260101
35000214,4209102,1,1,0.32,0,1,1,1,1,1,1,1,1,1,41,1880,134,0.89,20260101
35000215,4202404,1,1,0.605,1,1,1,1,1,1,0,1,1,1,15,643,40,0.82,20260101
35000216,2927408,1,1,0.123,0,1,0,0,0,1,1,0,0,0,7,84,4,0.66,20260101
35000217,2910800,1,1,0.538,1,1,1,1,1,1,1,1,1,1,59,1801,128,0.86,20260101
35000218,2933307,1,1,0.095,0,0,0,0,1,1,0,0,0,0,5,293,16,0.56,20260101
35000219,2611606,1,1,0.4,0,1,1,1,0,1,1,1,1,1,17,614,40,0.98,20260101
35000220,2609600,1,1,0.463,1,1,1,1,0,1,1,1,0,1,10,432,27,0.88,20260101
35000221,2611101,1,1,0.222,1,1,1,1,0,1,1,0,1,1,28,452,30,0.97,20260101
35000222,2304400,1,1,0.502,1,1,1,1,1,1,0,1,1,1,58,1849,132,0.96,20260101
35000223,2304202,1,1,0.401,0,1,1,1,1,1,1,1,1,1,17,674,42,0.85,20260101
35000224,2313500,1,1,0.295,1,1,1,1,1,1,1,1,1,1,28,1818,129,0.91,20260101
35000225,5208707,1,1,0.07,0,0,0,1,0,1,0,0,0,1,4,83,4,0.69,20260101
35000226,5300108,1,1,0.026,0,0,0,1,1,1,0,0,0,0,9,286,15,0.59,20260101
35000227,1302603,1,1,0.761,1,1,0,1,1,1,1,1,0,1,22,592,37,0.89,20260101
35000228,1501402,1,1,0.492,0,1,1,1,0,1,1,1,1,1,15,755,50,0.91,20260101
35000229,2111300,1,0,0.129,0,0,0,0,0,1,0,0,0,0,4,170,9,0.58,20260101
35000230,5002704,1,1,0.265,1,1,1,1,1,1,1,1,1,1,52,3151,225,0.87,20260101
35000231,3550308,1,1,0.442,0,1,1,1,0,1,1,0,1,1,15,454,30,0.95,20260101
35000232,3509502,0,0,0.104,0,1,0,1,1,1,0,0,0,1,11,104,5,0.6,20260101
35000233,3549805,1,1,0.461,1,1,1,1,1,1,0,1,1,1,50,1515,108,0.97,20260101
35000234,3304557,1,1,0.368,1,1,1,1,0,1,1,0,1,1,26,598,39,0.91,20260101
35000235,3301702,1,1,0.138,0,0,0,1,1,1,1,0,0,1,4,106,5,0.52,20260101
35000236,3303302,1,1,0.424,0,1,1,1,1,1,0,1,1,1,57,2946,210,0.95,20260101
35000237,3106200,0,0,0.125,0,0,0,1,0,1,0,0,0,0,7,294,16,0.67,20260101
35000238,3170206,1,1,0.546,1,1,0,1,1,1,1,0,1,1,23,581,36,0.84,20260101
35000239,3136702,1,1,0.494,0,1,1,1,0,1,1,1,1,1,16,672,44,0.99,20260101
35000240,4106902,1,1,0.249,1,1,1,1,0,1,1,1,1,1,29,1005,67,0.96,20260101
35000241,4113700,1,1,0.35,0,1,1,1,0,1,1,0,1,1,19,911,60,0.95,20260101
35000242,4118204,1,1,0.032,0,0,0,0,1,1,0,0,0,0,11,306,17,0.73,20260101
35000243,4314902,1,1,0.546,1,1,1,1,1,1,1,0,1,1,13,598,37,0.88,20260101
35000244,4304606,0,0,0.139,0,0,0,1,0,1,0,0,0,0,5,296,16,0.56,20260101
35000245,4316907,1,1,0.513,1,1,0,1,1,1,1,1,1,1,23,381,23,0.92,20260101
35000246,4205407,1,1,0.443,1,1,1,1,0,1,0,0,1,1,14,634,39,0.86,20260101
35000247,4209102,1,1,0.431,1,1,1,1,0,1,1,0,1,1,31,870,58,0.9,20260101
35000248,4202404,1,1,0.623,1,1,1,1,0,1,0,1,0,1,16,671,41,0.8,20260101
35000249,2927408,1,1,0.103,0,0,0,1,1,1,0,1,0,0,6,265,14,0.53,20260101
35000250,2910800,1,1,0.514,1,1,1,1,1,1,1,1,1,1,40,2822,201,0.95,20260101
35000251,2933307,1,1,0.067,0,1,0,1,1,1,0,0,0,1,6,140,7,0.73,20260101
35000252,2611606,1,1,0.493,1,1,1,1,1,1,1,1,1,1,41,1762,125,0.86,20260101
35000253,2609600,1,1,0.247,0,1,1,1,0,1,1,1,1,1,30,574,38,0.94,20260101
35000254,2611101,1,1,0.603,1,1,1,1,1,1,0,0,1,1,10,519,32,0.93,20260101
35000255,2304400,1,1,0.36,1,1,1,1,0,1,1,1,1,1,19,682,45,0.94,20260101
35000256,2304202,1,1,0.329,1,1,1,1,1,1,1,1,1,1,55,1451,103,0.93,20260101
35000257,2313500,1,1,0.385,1,1,1,1,1,1,1,1,0,1,17,373,23,0.83,20260101
35000258,5208707,1,1,0.076,0,1,0,1,1,1,0,0,0,0,9,256,14,0.52,20260101
35000259,5300108,1,1,0.401,1,1,1,1,0,1,1,0,1,1,33,527,35,0.97,20260101
35000260,1302603,1,1,0.57,0,1,1,1,1,1,1,1,1,1,34,3064,218,0.86,20260101
35000261,1501402,1,1,0.411,1,1,1,1,0,1,1,1,1,1,26,982,65,0.92,20260101
35000262,2111300,0,0,0.105,0,1,0,1,0,1,0,1,0,0,9,207,11,0.65,20260101
35000263,5002704,1,1,0.312,1,1,1,1,0,1,1,1,1,1,30,725,48,0.93,20260101
35000264,3550308,1,1,0.581,0,1,1,1,1,1,0,1,1,1,39,1661,118,0.97,20260101
35000265,3509502,1,1,0.404,1,1,1,1,0,1,1,0,1,1,18,406,27,0.92,20260101
35000266,3549805,1,1,0.77,0,1,1,1,0,1,1,0,1,1,12,493,30,0.91,20260101
